Date,AveragePrice,Total Volume,PLU-4046,PLU-4225,PLU-4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2016-1,1.11,7703489.39,86527.52,5906305.46,11318.79,1699337.62,1448596.4,250730.22,11
2016-2,1.1,6918713.98,81093.04,5231154.51,9318.67,1597147.76,1401734.99,195412.77,0
2016-3,1.205,6194830.36,87748.08,4590122.11,8222.63,1508737.54,1330201.88,178535.66,0
2016-4,1.15,4977348.8,70642.08,3373637.61,20925.6,1512143.51,1289304.11,217976.92,4862.48
2016-5,1.07,9397175.47,97283.92,7176692.78,90687.35,2032511.42,1735256.04,294167.43,3087.95
2016-6,1.4025,5927986.71,66962.95,3964241.64,104256.1,1792526.02,1545104.5,235972.36,11449.16
2016-7,1.612,5925720.7,73979.66,3318057.68,161612.17,2372071.19,2110164.78,238071.8,23834.61
2016-8,1.52,5080208.67,75384.68,2869469.11,81600.01,2053754.87,1859400.24,183382.12,10972.51
2016-9,1.4625,5006742.1,497613.79,2833733.74,18034.19,1657360.38,1463449.34,191432.37,2478.67
2016-10,1.862,4484682.34,90102.21,2931705.65,11130.72,1451743.76,1287656.02,159833.19,4254.55
2016-11,1.745,3661059.21,54681.43,2412470.63,11511.54,1182395.61,1026424.4,153855.6,2115.61
2016-12,1.365,4453538.42,50395.9,3157876.59,107440.58,1137825.35,918821.13,213890.23,5113.99
2017-1,1.422,6849803.41,76882.53,4857562.48,388546.41,1526811.99,1316035.06,198036.47,12740.46
2017-2,1.315,6793392.29,611978.5,4386532.6,306702.4,1488178.79,1246250.47,220798.07,21130.25
2017-3,1.6425,4940040.82,93224.35,3274812.88,85035.11,1486968.48,1292349.97,173443.52,21174.99
2017-4,1.754,6197649.84,206435.73,3989123.88,17454.12,1984636.11,1715546.3,241859.46,27230.35
2017-5,1.7375,5883634.69,215163.41,3359549.84,15164.9,2293756.54,1621554.53,625998.4,46203.61
2017-6,1.715,5473406.07,215442.62,3414148.89,13560.18,1830254.38,1218785.61,564041.09,47427.68
2017-7,1.598,6688096.05,337736.36,4080099.43,17059.04,2253201.22,1877326.99,319439.86,56434.37
2017-8,1.675,4702835.67,269297.07,2729880.82,4977.99,1698679.79,1557857.91,108342.21,32479.67
2017-9,1.635,9003949.97,668928.58,5624191.73,13722.26,2697107.4,2323297.24,366025.58,7784.58
2017-10,1.606,10151478.37,816465.16,6344003.58,14807.06,2976202.57,2551254.6,424928.08,19.89
2017-11,1.43,4987546.14,200497.21,2649978.37,2717.5,2134354.06,1755167.07,379147.25,39.74
2017-12,1.325,5997260.8,163030.87,4011210.25,3961.06,1819058.62,1722644.27,96375.88,39.47
2018-1,1.428,8196820.91,245343.32,5644855.02,4267.52,2302355.05,2132054.03,169727.21,573.81
2018-2,1.2725,8039943.89,429189.19,5321250.41,6213.62,2283290.67,2134189.76,142612.07,6488.84
2018-3,1.3375,7026184.44,264003.23,4027773.68,3039.93,2731367.6,2568897.34,152215.76,10254.5
2018-4,1.272,10867379.24,372418.06,6841534.87,6518.71,3646907.6,3499496.84,130173.81,17236.95
2018-5,1.1975,10740259.47,337049.76,7373552.27,7938.72,3021718.72,2863885.67,141109.46,16723.59
2018-6,1.235,8938047.53,353907.89,5565482.68,6594.22,3012062.74,2870627.23,126432.46,15003.05
2018-7,1.21,10259001.48,320029.37,6266741.04,4844.88,3667386.19,3250154.99,404379.81,12851.39
2018-8,1.24,7138503.16,215051.01,4156228.77,24421.72,2742801.66,2474446.15,257168.85,11186.66
2018-9,1.394,8070717.58,218389.32,4769155.09,44634.37,3038538.8,2816288.35,210328.81,11921.64
2018-10,1.3525,6766025.18,164482.12,3972942.18,29796.95,2598803.93,2514050.7,84594.98,158.25
2018-11,1.405,5314413.15,181019.04,2970274.81,27302.93,2135816.37,2030928.63,104864.35,23.39
2018-12,1.64,938904.86,31357.82,567045.17,4113.12,336388.75,315994.95,20389.82,3.98
2019-1,1.2825,7878204.92,201055.16,4903094.13,47608.17,2726447.46,2359527.48,366761.92,158.06
2019-2,1.2175,8634425.44,216888.96,5781197.15,77901.29,2558438.04,2019442.35,538897.2,98.49
2019-3,1.254,10503417.11,275598.4,6707230.67,95442.87,3425145.17,2472452.77,950522.83,2169.57
2019-4,1.4025,7187956.88,257684.55,4613816.66,73970.62,2242485.05,1789122.3,453241.65,121.1
2019-5,1.5875,7528254.63,220326.31,4980620.28,71228.26,2256079.78,1934662.96,317259.54,4157.28
2019-6,1.594,8406609.3,236199.29,5376293.01,139837.08,2654279.92,1735568.82,899600.57,19110.53
2019-7,1.5975,6504391.35,206188.42,4217261.24,101440.37,1979501.32,1211760.35,752969.95,14771.02
2019-8,1.555,6339018.03,183251.36,3805731.29,355864.84,1994170.54,1330628.28,636231.14,27311.12
2019-9,1.506,8645300.25,208893.93,6015103.02,124798.51,2296504.79,1844926.08,440417.47,11161.24
2019-10,1.395,7117024.56,122651.62,4363996.75,29416.72,2599986.14,1945901.57,650543.39,3541.18
2019-11,1.355,6836205.12,124428.49,4136447.63,38957.21,2536372.79,1762323.56,767130.06,6918.17
2019-12,1.37,1460535,28321,836393,6460,589362,392868,191956,4538
